Beam Energy [GeV],-t [GeV**2],-(t-tmin) [GeV**2],ds/dt
6.0,1.9180629,0.072799675,1.042179e-06
6.0,1.8509897,0.0057264695,1.0913836e-06
6.0,1.8549307,0.0096674839,1.0897937e-06
6.0,1.858422,0.013158775,1.0874356e-06
6.0,1.8606638,0.015400605,1.0856548e-06
6.0,1.8662475,0.020984303,1.0809539e-06
6.0,1.8864653,0.041202025,1.0652939e-06
6.0,1.8475015,0.002238291,1.0924661e-06
6.0,1.8452632,0.0,1.0922545e-06
6.0,1.9857706,0.14050741,9.9615133e-07
6.0,2.0063002,0.16103693,9.8208074e-07
6.0,2.0628147,0.2175515,9.401913e-07
6.0,2.2732539,0.4279907,7.6727688e-07
6.0,2.6170363,0.77177306,5.3800241e-07
6.0,3.0398837,1.1946204,3.1991053e-07
6.0,1.9538989,0.10863564,1.0176951e-06
7.0,2.9833641,2.0373169,2.5810302e-07
7.0,2.4621401,1.5160929,4.8696801e-07
7.0,0.95528725,0.0092400523,6.8631303e-06
7.0,0.94604719,0.0,6.9152152e-06
7.0,0.95152194,0.005474749,6.8734699e-06
7.0,0.9481876,0.0021404081,6.8924536e-06
7.0,0.96608825,0.020041058,6.8700797e-06
7.0,0.9853427,0.039295505,6.9554308e-06
7.0,1.0153266,0.069279391,7.1432671e-06
7.0,1.0491703,0.10312313,7.2423032e-06
7.0,1.0791234,0.13307617,7.0961239e-06
7.0,1.0983427,0.15229555,6.8764421e-06
7.0,1.1509451,0.20489792,5.9578511e-06
7.0,1.3426901,0.39664295,3.2131615e-06
7.0,1.6404722,0.69442498,1.7051351e-06
7.0,1.9757255,1.0296783,9.7224242e-07
7.0,2.2720353,1.3259881,6.2931268e-07
7.0,0.95862119,0.012573995,6.8604722e-06
7.0,0.96076114,0.01471395,6.8612741e-06
8.0,0.62801345,0.01083519,2.9682525e-05
8.0,0.62359841,0.0064201443,2.98479e-05
8.0,0.61968838,0.0025101144,3.0080439e-05
8.0,2.9419545,2.3247762,2.8173396e-07
8.0,0.63443126,0.017252996,2.9494879e-05
8.0,0.6406762,0.023497934,2.9292661e-05
8.0,0.66324178,0.046063521,2.7924538e-05
8.0,0.69836221,0.081183953,2.4086627e-05
8.0,0.73797473,0.12079647,1.9634392e-05
8.0,0.61717826,0.0,3.0364978e-05
8.0,0.79547351,0.17829525,1.4942719e-05
8.0,0.85690993,0.23973167,1.163517e-05
8.0,1.0802034,0.46302514,5.7423041e-06
8.0,1.4248661,0.80768785,2.5948127e-06
8.0,1.8096202,1.1924419,1.3157766e-06
8.0,2.146562,1.5293837,7.8623046e-07
8.0,2.361081,1.7439027,5.8203259e-07
8.0,0.63192239,0.014744125,2.956681e-05
8.0,0.77300754,0.15582928,1.6540368e-05
9.0,0.44262796,0.0,0.0001016823
9.0,2.5020026,2.0593746,4.9358055e-07
9.0,0.62829137,0.18566341,3.3940263e-05
9.0,0.65503326,0.21240531,2.9209955e-05
9.0,0.72813004,0.28550208,2.0469777e-05
9.0,0.99339576,0.5507678,8.0037851e-06
9.0,1.8553121,1.4126841,1.2590372e-06
9.0,0.58657804,0.14395009,4.4362847e-05
9.0,0.53939303,0.096765075,6.3627128e-05
9.0,1.4015632,0.95893525,2.8747023e-06
9.0,0.4706442,0.028016241,9.4129355e-05
9.0,0.46319912,0.020571167,9.5466846e-05
9.0,0.46020797,0.017580011,9.5992713e-05
9.0,0.45554745,0.012919496,9.6885676e-05
9.0,0.45028329,0.0076553294,9.8164313e-05
9.0,0.44562106,0.002993102,9.9853478e-05
9.0,0.49754231,0.054914349,8.5612566e-05
9.0,2.2509661,1.8083382,6.9307437e-07
10.0,0.45046784,0.11475693,0.00010995693
10.0,0.36011323,0.024402323,0.00023130861
